Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
347,River Cracraft,MIA,28,WR,11,0,14,9,102,11.3,2,8,22,0.8,9.3,64.30%,7.3,,,0,0,,,,,9,11.3,102,2,,CracRi00
348,Mac Jones,NWE,24,QB,14,14,,,,,0,0,,,,,,47,102,1,12,15,2.2,7.3,3.4,47,2.2,102,1,5,JoneMa05
349,Anthony Firkser,ATL,27,TE,11,1,13,9,100,11.1,0,5,22,0.8,9.1,69.20%,7.7,,,0,0,,,,,9,11.1,100,0,,FirkAn00
350,Giovanni Ricci,CAR,26,TE,15,3,9,8,100,12.5,0,3,32,0.5,6.7,88.90%,11.1,,,0,0,,,,,8,12.5,100,0,,RiccGi00
351,Tyrion Davis-Price,SFO,22,RB,6,0,2,0,0,,0,0,0,0,0,0.00%,0,34,99,0,5,20,2.9,16.5,5.7,34,2.9,99,0,,DaviTy03
352,Marcus Johnson,NYG,28,WR,14,7,22,9,99,11,0,6,18,0.6,7.1,40.90%,4.5,,,0,0,,,,,9,11,99,0,,JohnMa07
353,Ryan Tannehill,TEN,34,QB,12,12,,,,,0,0,,,,,,34,98,2,12,17,2.9,8.2,2.8,34,2.9,98,2,3,TannRy00
354,Kirk Cousins,MIN,34,QB,17,17,,,,,0,0,,,,,,31,97,2,11,19,3.1,5.7,1.8,31,3.1,97,2,7,CousKi00
355,Darrynton Evans,CHI,24,RB,6,0,1,1,33,33,0,1,33,0.2,5.5,100.00%,33,14,64,0,3,21,4.6,10.7,2.3,15,6.5,97,0,,EvanDa02
356,Taylor Heinicke,WAS,29,QB,9,9,,,,,0,0,,,,,,28,96,1,6,15,3.4,10.7,3.1,28,3.4,96,1,7,HeinTa00
357,Albert Okwuegbunam,DEN,24,TE,8,1,18,10,95,9.5,1,4,25,1.3,11.9,55.60%,5.3,,,0,0,,,,,10,9.5,95,1,,OkwuAl00
358,Aaron Rodgers,GNB,39,QB,17,17,,,,,0,0,,,,,,34,94,1,9,18,2.8,5.5,2,34,2.8,94,1,8,RodgAa00
359,C.J. Ham,MIN,29,FB,17,4,12,10,86,8.6,0,7,17,0.6,5.1,83.30%,7.2,4,7,2,3,3,1.8,0.4,0.2,14,6.6,93,2,,HamxC.00
360,Ronald Jones II,KAN,25,RB,6,0,1,1,22,22,0,1,22,0.2,3.7,100.00%,22,17,70,1,4,13,4.1,11.7,2.8,18,5.1,92,1,,JoneRo01
361,Gunner Olszewski,PIT,26,WR,16,2,7,5,53,10.6,0,1,31,0.3,3.3,71.40%,7.6,8,39,0,3,18,4.9,2.4,0.5,13,7.1,92,0,2,OlszGu00
362,Bryce Perkins,LAR,26,QB,5,1,,,,,0,0,,,,,,19,90,0,6,23,4.7,18,3.8,19,4.7,90,0,,PerkBr02
363,Patrick Ricard,BAL,28,FB,17,16,13,11,74,6.7,0,1,19,0.6,4.4,84.60%,5.7,7,16,0,5,5,2.3,0.9,0.4,18,5,90,0,,RicaPa00
364,Armani Rogers,WAS,25,TE,11,3,6,5,64,12.8,0,4,23,0.5,5.8,83.30%,10.7,2,26,0,1,24,13,2.4,0.2,7,12.9,90,0,,RogeAr00
365,Michael Bandy,LAC,25,WR,10,2,21,10,89,8.9,0,5,25,1,8.9,47.60%,4.2,,,0,0,,,,,10,8.9,89,0,,BandMi00
366,Parker Hesse,ATL,27,TE,17,7,11,9,89,9.9,0,6,22,0.5,5.2,81.80%,8.1,,,0,0,,,,,9,9.9,89,0,,HessPa00
367,Baker Mayfield,2TM,27,,12,10,,,,,0,0,,,,,,31,89,1,7,17,2.9,7.4,2.6,31,2.9,89,1,9,MayfBa00
368,Cam Sims,WAS,26,WR,17,3,18,8,89,11.1,0,5,21,0.5,5.2,44.40%,4.9,,,0,0,,,,,8,11.1,89,0,,SimsCa00
369,Sam Ehlinger,IND,24,QB,4,3,,,,,0,0,,,,,,17,87,0,5,19,5.1,21.8,4.3,17,5.1,87,0,2,EhliSa00
370,Jordan Wilkins,IND,28,RB,4,0,8,6,29,4.8,0,1,10,1.5,7.3,75.00%,3.6,13,58,0,2,9,4.5,14.5,3.3,19,4.6,87,0,,WilkJo01
371,Carson Wentz,WAS,30,QB,8,7,,,,,0,0,,,,,,22,86,1,4,18,3.9,10.8,2.8,22,3.9,86,1,6,WentCa00
372,Quintin Morris,BUF,23,TE,14,1,11,8,84,10.5,1,6,26,0.6,6,72.70%,7.6,,,0,0,,,,,8,10.5,84,1,1,MorrQu00
373,Jarrett Stidham,LVR,26,QB,5,2,,,,,0,0,,,,,,14,84,0,7,11,6,16.8,2.8,14,6,84,0,3,StidJa00
374,Samori Toure,GNB,24,WR,11,2,10,5,82,16.4,1,2,37,0.5,7.5,50.00%,8.2,,,0,0,,,,,5,16.4,82,1,1,TourSa00
375,Grant Calcaterra,PHI,24,TE,15,2,9,5,81,16.2,0,3,40,0.3,5.4,55.60%,9,,,0,0,,,,,5,16.2,81,0,,CalcGr00
376,Kenny Golladay,NYG,29,WR,12,4,17,6,81,13.5,1,4,25,0.5,6.8,35.30%,4.8,,,0,0,,,,,6,13.5,81,1,,GollKe00
377,Keaontay Ingram,ARI,23,RB,12,0,5,4,21,5.3,0,1,24,0.3,1.8,80.00%,4.2,27,60,1,4,13,2.2,5,2.3,31,2.6,81,1,,IngrKe01
378,Jameson Williams,DET,21,WR,6,0,9,1,41,41,1,1,41,0.2,6.8,11.10%,4.6,1,40,0,1,40,40,6.7,0.2,2,40.5,81,1,,WillJa11
379,Ko Kieft,TAM,24,TE,17,12,10,7,80,11.4,1,5,19,0.4,4.7,70.00%,8,,,0,0,,,,,7,11.4,80,1,,KiefKo00
380,Jeff Driskel,HOU,29,QB,7,2,1,1,4,4,0,0,4,0.1,0.6,100.00%,4,20,75,0,4,10,3.8,10.7,2.9,21,3.8,79,0,,DrisJe00
381,Eric Tomlinson,DEN,30,TE,17,12,13,9,79,8.8,2,5,18,0.5,4.6,69.20%,6.1,,,0,0,,,,,9,8.8,79,2,,TomlEr01
382,Jared Goff,DET,28,QB,17,17,1,1,5,5,0,0,5,0.1,0.3,100.00%,5,29,73,0,5,14,2.5,4.3,1.7,30,2.6,78,0,7,GoffJa00
383,Marcus Jones,NWE,24,DB,15,4,4,4,78,19.5,1,3,48,0.3,5.2,100.00%,19.5,,,0,0,,,,,4,19.5,78,1,1,JoneMa06
384,Jaret Patterson,WAS,23,RB,3,0,1,0,0,,0,0,0,0,0,0.00%,0,17,78,0,3,14,4.6,26,5.7,17,4.6,78,0,,PattJa01
385,Kyle Philips,TEN,23,WR,4,0,13,8,78,9.8,0,3,21,2,19.5,61.50%,6,,,0,0,,,,,8,9.8,78,0,2,PhilKy01
386,Trent Taylor,CIN,28,WR,16,1,10,6,62,10.3,0,1,34,0.4,3.9,60.00%,6.2,4,15,0,0,9,3.8,0.9,0.3,10,7.7,77,0,2,TaylTr02
387,Jalen Virgil,DEN,24,WR,9,1,5,2,75,37.5,1,2,66,0.2,8.3,40.00%,15,,,0,0,,,,,2,37.5,75,1,1,VirgJa00
388,Freddie Swain,2TM,24,,4,1,6,4,74,18.5,0,3,52,1,18.5,66.70%,12.3,,,0,0,,,,,4,18.5,74,0,1,SwaiFr00
389,Kevin White,NOR,30,WR,7,2,5,2,74,37,0,2,64,0.3,10.6,40.00%,14.8,,,0,0,,,,,2,37,74,0,,WhitKe00
390,Salvon Ahmed,MIA,24,RB,12,0,1,1,8,8,0,0,8,0.1,0.7,100.00%,8,12,64,1,4,11,5.3,5.3,1,13,5.5,72,1,,AhmeSa01
391,Tre' McKitty,LAC,23,TE,17,8,18,10,72,7.2,0,0,12,0.6,4.2,55.60%,4,,,0,0,,,,,10,7.2,72,0,1,McKiTr00
392,Ke'Shawn Vaughn,TAM,25,RB,15,0,4,3,19,6.3,0,1,11,0.2,1.3,75.00%,4.8,17,53,0,3,12,3.1,3.5,1.1,20,3.6,72,0,,VaugKe00
393,David Johnson,NOR,31,RB,5,0,4,4,47,11.8,0,3,21,0.8,9.4,100.00%,11.8,12,24,0,0,5,2,4.8,2.4,16,4.4,71,0,1,JohnDa08
394,Tevin Coleman,SFO,29,RB,5,0,3,3,44,14.7,1,2,30,0.6,8.8,100.00%,14.7,12,26,1,2,14,2.2,5.2,2.4,15,4.7,70,2,,ColeTe01
395,Matt Ryan,IND,37,QB,12,12,,,,,0,0,,,,,,27,70,1,9,39,2.6,5.8,2.3,27,2.6,70,1,15,RyanMa00
396,Tua Tagovailoa,MIA,24,QB,13,13,,,,,0,0,,,,,,23,70,0,4,18,3,5.4,1.8,23,3,70,0,6,TagoTu00
397,Tyrod Taylor,NYG,33,QB,3,0,,,,,0,0,,,,,,5,70,0,5,32,14,23.3,1.7,5,14,70,0,2,TaylTy00
398,Zamir White,LVR,23,RB,14,0,,,,,0,0,,,,,,17,70,0,4,22,4.1,5,1.2,17,4.1,70,0,,WhitZa01
399,Andrew Beck,DEN,26,FB,13,4,11,5,69,13.8,0,2,27,0.4,5.3,45.50%,6.3,2,0,0,0,1,0,0,0.2,7,9.9,69,0,,BeckAn01
400,Reggie Gilliam,BUF,25,FB,15,4,10,8,69,8.6,1,4,14,0.5,4.6,80.00%,6.9,,,0,0,,,,,8,8.6,69,1,,GillRe00
401,D'Wayne Eskridge,SEA,25,WR,10,0,13,7,58,8.3,0,4,16,0.7,5.8,53.80%,4.5,2,10,0,0,6,5,1,0.2,9,7.6,68,0,,EskrDW00
402,Phillip Lindsay,IND,28,RB,3,0,8,6,19,3.2,0,0,7,2,6.3,75.00%,2.4,15,49,0,1,15,3.3,16.3,5,21,3.2,68,0,,LindPh00
403,Trey Lance,SFO,22,QB,2,2,,,,,0,0,,,,,,16,67,0,7,13,4.2,33.5,8,16,4.2,67,0,1,LancTr00
404,Marcedes Lewis,GNB,38,TE,17,17,7,6,66,11,2,5,31,0.4,3.9,85.70%,9.4,,,0,0,,,,,6,11,66,2,,LewiMa00
405,Chris Myarick,NYG,27,FB,16,8,8,7,65,9.3,1,5,23,0.4,4.1,87.50%,8.1,,,0,0,,,,,7,9.3,65,1,,MyarCh00
406,Jalen Guyton,LAC,25,WR,3,0,4,2,64,32,0,2,54,0.7,21.3,50.00%,16,,,0,0,,,,,2,32,64,0,,GuytJa01
407,Jake Kumerow,BUF,30,WR,6,1,7,4,64,16,0,4,39,0.7,10.7,57.10%,9.1,,,0,0,,,,,4,16,64,0,,KumeJa00
408,Desmond Ridder,ATL,23,QB,4,4,,,,,0,0,,,,,,16,64,0,4,18,4,16,4,16,4,64,0,3,RiddDe00
409,Trestan Ebner,CHI,23,RB,17,0,8,2,8,4,0,0,6,0.1,0.5,25.00%,1,24,54,0,2,11,2.3,3.2,1.4,26,2.4,62,0,2,EbneTr00
410,James Proche,BAL,26,WR,15,0,17,8,62,7.8,0,3,12,0.5,4.1,47.10%,3.6,,,0,0,,,,,8,7.8,62,0,,ProcJa00
411,Trace McSorley,ARI,27,QB,6,1,,,,,0,0,,,,,,15,61,0,3,14,4.1,10.2,2.5,15,4.1,61,0,2,McSoTr00
412,Jamison Crowder,BUF,29,WR,4,0,13,6,60,10,0,4,16,1.5,15,46.20%,4.6,,,0,0,,,,,6,10,60,0,1,CrowJa00
413,Trayveon Williams,CIN,25,RB,8,0,3,2,30,15,0,1,24,0.3,3.8,66.70%,10,6,30,0,1,16,5,3.8,0.8,8,7.5,60,0,,WillTr06
414,Shane Zylstra,DET,26,TE,13,2,15,11,60,5.5,4,6,14,0.8,4.6,73.30%,4,,,0,0,,,,,11,5.5,60,4,,ZylsSh00
415,Mike Strachan,IND,25,WR,13,0,9,3,59,19.7,0,3,23,0.2,4.5,33.30%,6.6,,,0,0,,,,,3,19.7,59,0,,StraMi03
416,Geoff Swaim,TEN,29,TE,17,13,16,12,58,4.8,1,4,13,0.7,3.4,75.00%,3.6,,,0,0,,,,,12,4.8,58,1,,SwaiGe00
417,Deven Thompkins,TAM,23,WR,5,1,10,5,32,6.4,0,1,13,1,6.4,50.00%,3.2,2,26,0,1,17,13,5.2,0.4,7,8.3,58,0,1,ThomDe07
418,Tyler Kroft,SFO,30,TE,11,4,5,4,57,14.3,0,2,28,0.4,5.2,80.00%,11.4,,,0,0,,,,,4,14.3,57,0,,KrofTy00
419,C.J. Moore,DET,27,S,11,0,,,,,0,0,,,,,,2,55,0,2,42,27.5,5,0.2,2,27.5,55,0,1,MoorCJ01
420,Nick Vannett,2TM,29,,9,3,9,6,55,9.2,0,1,15,0.7,6.1,66.70%,6.1,,,0,0,,,,,6,9.2,55,0,,VannNi00
421,Andy Dalton,NOR,35,QB,14,14,,,,,0,0,,,,,,30,54,0,6,14,1.8,3.9,2.1,30,1.8,54,0,5,DaltAn00
422,Myles Gaskin,MIA,25,RB,4,0,6,4,28,7,0,0,16,1,7,66.70%,4.7,10,26,0,2,10,2.6,6.5,2.5,14,3.9,54,0,,GaskMy00
423,Cody Hollister,TEN,29,WR,11,3,5,3,54,18,0,2,27,0.3,4.9,60.00%,10.8,,,0,0,,,,,3,18,54,0,,HollCo00
424,Tony Jones,2TM,25,RB,6,0,8,5,30,6,0,0,9,0.8,5,62.50%,3.8,10,24,0,3,7,2.4,4,1.7,15,3.6,54,0,,JoneTo04
425,Isaiah Spiller,LAC,21,RB,6,0,3,3,13,4.3,0,0,8,0.5,2.2,100.00%,4.3,18,41,0,2,11,2.3,6.8,3,21,2.6,54,0,,SpilIs00
426,Chris Streveler,NYJ,27,QB,2,1,,,,,0,0,,,,,,9,54,0,1,14,6,27,4.5,9,6,54,0,1,StreCh00
427,Spencer Brown,CAR,24,RB,2,0,4,2,10,5,0,0,9,1,5,50.00%,2.5,9,43,0,1,7,4.8,21.5,4.5,11,4.8,53,0,,BrowSp01
428,Julius Chestnut,TEN,22,RB,6,0,3,3,41,13.7,0,1,33,0.5,6.8,100.00%,13.7,9,12,0,1,5,1.3,2,1.5,12,4.4,53,0,,ChesJu00
429,Kevin Harris,NWE,22,RB,5,1,,,,,0,0,,,,,,18,52,1,3,14,2.9,10.4,3.6,18,2.9,52,1,,HarrKe01
430,Ronnie Rivers,LAR,23,RB,8,1,5,5,29,5.8,0,1,14,0.6,3.6,100.00%,5.8,9,21,0,1,5,2.3,2.6,1.1,14,3.6,50,0,,RiveRo01
431,Charlie Kolar,BAL,23,TE,2,0,6,4,49,12.3,0,3,15,2,24.5,66.70%,8.2,,,0,0,,,,,4,12.3,49,0,,KolaCh00
432,Patrick Taylor,GNB,24,RB,14,0,1,1,17,17,0,1,17,0.1,1.2,100.00%,17,10,31,0,2,6,3.1,2.2,0.7,11,4.4,48,0,,TaylPa01
433,Chris Conley,2TM,30,WR,9,1,7,4,46,11.5,0,2,27,0.4,5.1,57.10%,6.6,,,0,0,,,,,4,11.5,46,0,,ConlCh00
434,Stephen Sullivan,CAR,26,TE,14,0,6,2,46,23,0,2,33,0.1,3.3,33.30%,7.7,,,0,0,,,,,2,23,46,0,,SullSt00
435,Andre Baccellia,ARI,25,WR,8,0,10,7,45,6.4,0,4,11,0.9,5.6,70.00%,4.5,,,0,0,,,,,7,6.4,45,0,,BaccAn00
436,Dwayne Washington,NOR,28,RB,12,0,1,1,7,7,0,0,7,0.1,0.6,100.00%,7,11,38,0,2,8,3.5,3.2,0.9,12,3.8,45,0,,WashDw00
437,Joshua Dobbs,TEN,27,QB,2,2,,,,,0,0,,,,,,8,44,0,4,11,5.5,22,4,8,5.5,44,0,4,DobbJo00
438,Racey McMath,TEN,23,WR,5,0,8,2,40,20,0,1,39,0.4,8,25.00%,5,1,4,0,0,4,4,0.8,0.2,3,14.7,44,0,,McMaRa00
439,John Brown,BUF,32,WR,3,0,2,1,42,42,1,1,42,0.3,14,50.00%,21,,,0,0,,,,,1,42,42,1,,BrowJo02
440,Snoop Conner,JAX,22,RB,8,0,,,,,0,0,,,,,,12,42,1,2,8,3.5,5.3,1.5,12,3.5,42,1,,ConnSn00
441,Brandon Johnson,DEN,24,WR,7,1,14,6,42,7,1,2,12,0.9,6,42.90%,3,,,0,0,,,,,6,7,42,1,1,JohnBr23
442,Chris Manhertz,JAX,30,TE,17,11,8,6,42,7,0,2,21,0.4,2.5,75.00%,5.3,,,0,0,,,,,6,7,42,0,,ManhCh00
443,Laquon Treadwell,SEA,27,WR,6,0,10,6,42,7,0,3,17,1,7,60.00%,4.2,,,0,0,,,,,6,7,42,0,,TreaLa00
444,Anthony McFarland Jr.,PIT,23,RB,1,0,2,2,11,5.5,0,1,12,2,11,100.00%,5.5,6,30,0,3,14,5,30,6,8,5.1,41,0,,McFaAn00
445,Davis Webb,NYG,27,QB,1,1,,,,,0,0,,,,,,6,41,1,2,14,6.8,41,6,6,6.8,41,1,,WebbDa00
446,Luke Farrell,JAX,25,TE,17,0,4,4,40,10,0,3,15,0.2,2.4,100.00%,10,,,0,0,,,,,4,10,40,0,,FarrLu00
447,Michael Woods II,CLE,22,WR,10,0,10,5,45,9,0,3,15,0.5,4.5,50.00%,4.5,1,-5,0,0,-5,-5,-0.5,0.1,6,6.7,40,0,,WoodMi00
448,P.J. Walker,CAR,27,QB,6,5,,,,,0,0,,,,,,6,39,0,3,20,6.5,6.5,1,6,6.5,39,0,,WalkPh00
449,Chris Evans,CIN,25,RB,12,0,4,3,38,12.7,1,2,26,0.3,3.2,75.00%,9.5,,,0,0,,,,,3,12.7,38,1,,EvanCh02
450,Mike Thomas,CIN,28,WR,10,2,10,2,38,19,0,1,33,0.2,3.8,20.00%,3.8,,,0,0,,,,,2,19,38,0,,ThomMi04
451,Mitchell Trubisky,PIT,28,QB,7,5,,,,,0,0,,,,,,19,38,2,7,9,2,5.4,2.7,19,2,38,2,,TrubMi00
452,Dax Milne,WAS,23,WR,15,1,7,6,37,6.2,1,2,12,0.4,2.5,85.70%,5.3,,,0,0,,,,,6,6.2,37,1,1,MilnDa00
453,Colt McCoy,ARI,36,QB,4,3,,,,,0,0,,,,,,14,36,0,5,9,2.6,9,3.5,14,2.6,36,0,2,McCoCo00
454,Cole Beasley,2TM,33,,4,1,7,6,35,5.8,0,1,9,1.5,8.8,85.70%,5,,,0,0,,,,,6,5.8,35,0,,BeasCo00
455,Kendall Blanton,LAR,27,TE,4,0,2,2,35,17.5,0,1,28,0.5,8.8,100.00%,17.5,,,0,0,,,,,2,17.5,35,0,,BlanKe01
456,Sam Howell,WAS,22,QB,1,1,,,,,0,0,,,,,,5,35,1,4,10,7,35,5,5,7,35,1,,HoweSa00
457,Kene Nwangwu,MIN,24,RB,17,0,2,2,21,10.5,0,1,16,0.1,1.2,100.00%,10.5,9,14,0,1,8,1.6,0.8,0.5,11,3.2,35,0,,NwanKe00
458,Jimmy Garoppolo,SFO,31,QB,11,10,,,,,0,0,,,,,,23,33,2,12,6,1.4,3,2.1,23,1.4,33,2,3,GaroJi00
459,Larry Rountree,LAC,23,RB,4,0,2,2,14,7,0,1,13,0.5,3.5,100.00%,7,13,19,0,0,5,1.5,4.8,3.3,15,2.2,33,0,,RounLa00
460,Tylan Wallace,BAL,23,WR,9,0,7,4,33,8.3,0,1,12,0.4,3.7,57.10%,4.7,,,0,0,,,,,4,8.3,33,0,,WallTy00
461,Jonathan Ward,2TM,25,,8,0,3,2,7,3.5,0,1,4,0.3,0.9,66.70%,2.3,5,25,0,2,12,5,3.1,0.6,7,4.6,32,0,,WardJo00
462,Montrell Washington,DEN,23,WR,15,1,9,4,2,0.5,0,0,4,0.3,0.1,44.40%,0.2,5,30,0,0,19,6,2,0.3,9,3.6,32,0,5,WashMo00
463,Derek Watt,PIT,30,FB,17,3,5,5,11,2.2,1,1,5,0.3,0.6,100.00%,2.2,9,21,1,8,4,2.3,1.2,0.5,14,2.3,32,2,,WattDe00
464,John Wolford,LAR,27,QB,3,3,,,,,0,0,,,,,,8,32,0,2,14,4,10.7,2.7,8,4,32,0,3,WolfJo00
465,Tim Jones,JAX,24,WR,17,1,4,3,30,10,0,1,20,0.2,1.8,75.00%,7.5,,,0,0,,,,,3,10,30,0,,JoneTi00
466,Tyrie Cleveland,DEN,25,WR,6,0,7,2,28,14,0,1,16,0.3,4.7,28.60%,4,,,0,0,,,,,2,14,28,0,,ClevTy00
467,Jaelon Darden,2TM,23,,14,0,2,2,26,13,0,1,25,0.1,1.9,100.00%,13,1,2,0,0,2,2,0.1,0.1,3,9.3,28,0,,DardJa00
468,Kyle Rudolph,TAM,33,TE,9,0,5,3,28,9.3,1,2,12,0.3,3.1,60.00%,5.6,,,0,0,,,,,3,9.3,28,1,,RudoKy00
469,Giovani Bernard,TAM,31,RB,8,0,2,2,-1,-0.5,0,0,6,0.3,-0.1,100.00%,-0.5,8,28,0,0,8,3.5,3.5,1,10,2.7,27,0,1,BernGi00
470,Teddy Bridgewater,MIA,30,QB,5,2,,,,,0,0,,,,,,3,27,0,2,11,9,5.4,0.6,3,9,27,0,,BridTe00
471,Tyler Davis,GNB,25,TE,17,1,7,4,26,6.5,0,1,23,0.2,1.5,57.10%,3.7,,,0,0,,,,,4,6.5,26,0,,DaviTy02
472,Ben Ellefson,MIN,26,TE,4,1,3,3,26,8.7,0,2,12,0.8,6.5,100.00%,8.7,,,0,0,,,,,3,8.7,26,0,,ElleBe00
473,Ryan Griffin,CHI,32,TE,15,0,8,4,26,6.5,0,1,18,0.3,1.7,50.00%,3.3,,,0,0,,,,,4,6.5,26,0,,GrifRy00
474,DJ Turner,LVR,25,WR,9,0,1,0,0,,0,0,0,0,0,0.00%,0,4,26,0,1,18,6.5,2.9,0.4,4,6.5,26,0,1,TurnDJ00
475,KaVontae Turpin,DAL,26,WR,17,0,2,1,9,9,0,0,9,0.1,0.5,50.00%,4.5,3,17,0,1,11,5.7,1,0.2,4,6.5,26,0,3,TurpKa00
476,Trevon Wesco,CHI,27,TE,14,1,4,2,26,13,0,1,23,0.1,1.9,50.00%,6.5,,,0,0,,,,,2,13,26,0,,WescTr00
477,Daylen Baldwin,CLE,23,WR,1,0,2,2,25,12.5,0,2,15,2,25,100.00%,12.5,,,0,0,,,,,2,12.5,25,0,,BaldDa01
478,Tyler Badie,DEN,22,RB,1,0,1,1,24,24,1,1,24,1,24,100.00%,24,1,0,0,0,0,0,0,1,2,12,24,1,,BadiTy00
479,Simi Fehoko,DAL,25,WR,5,0,4,3,24,8,0,1,12,0.6,4.8,75.00%,6,,,0,0,,,,,3,8,24,0,,FehoSi00
480,D'Ernest Johnson,CLE,26,RB,15,0,3,3,7,2.3,0,0,7,0.2,0.5,100.00%,2.3,4,17,0,1,7,4.3,1.1,0.3,7,3.4,24,0,,JohnDE04
481,Dezmon Patmon,IND,24,WR,1,0,6,2,24,12,0,1,17,2,24,33.30%,4,,,0,0,,,,,2,12,24,0,,PatmDe00
482,Dareke Young,SEA,23,WR,13,0,2,2,24,12,0,2,12,0.2,1.8,100.00%,12,,,0,0,,,,,2,12,24,0,,YounDa02
483,Cole Turner,WAS,22,TE,10,2,9,2,23,11.5,0,1,18,0.2,2.3,22.20%,2.6,,,0,0,,,,,2,11.5,23,0,,TurnCo00
484,Mike Davis,BAL,29,RB,8,0,2,2,4,2,0,0,7,0.3,0.5,100.00%,2,8,18,0,1,10,2.3,2.3,1,10,2.2,22,0,1,DaviMi01
485,Andy Isabella,2TM,26,,5,0,5,2,21,10.5,0,2,11,0.4,4.2,40.00%,4.2,1,1,0,0,1,1,0.2,0.2,3,7.3,22,0,,IsabAn00
486,Pharoh Cooper,ARI,27,WR,5,1,2,2,6,3,0,0,3,0.4,1.2,100.00%,3,4,15,0,0,6,3.8,3,0.8,6,3.5,21,0,,CoopPh00
487,Cade Johnson,SEA,24,WR,3,0,4,2,21,10.5,0,2,11,0.7,7,50.00%,5.3,,,0,0,,,,,2,10.5,21,0,,JohnCa03
488,Skylar Thompson,MIA,25,QB,7,2,,,,,0,0,,,,,,14,21,0,1,9,1.5,3,2,14,1.5,21,0,2,ThomSk00
489,Blake Bell,KAN,31,TE,3,1,2,2,20,10,1,1,17,0.7,6.7,100.00%,10,,,0,0,,,,,2,10,20,1,,BellBl00
490,Ty Chandler,MIN,24,RB,3,0,,,,,0,0,,,,,,6,20,0,1,10,3.3,6.7,2,6,3.3,20,0,,ChanTy01
491,Keke Coutee,IND,25,WR,8,0,1,1,20,20,0,0,20,0.1,2.5,100.00%,20,,,0,0,,,,,1,20,20,0,4,CoutKe00
492,Penny Hart,SEA,26,WR,9,0,4,3,20,6.7,0,1,15,0.3,2.2,75.00%,5,,,0,0,,,,,3,6.7,20,0,,HartPe01
493,Lil'Jordan Humphrey,NWE,24,WR,6,2,4,2,20,10,0,0,11,0.3,3.3,50.00%,5,,,0,0,,,,,2,10,20,0,,HumpLi01
494,Danny Gray,SFO,23,WR,13,0,7,1,10,10,0,1,10,0.1,0.8,14.30%,1.4,1,9,0,0,9,9,0.7,0.1,2,9.5,19,0,,GrayDa02
495,Troy Hairston,HOU,24,FB,16,5,8,5,19,3.8,0,0,7,0.3,1.2,62.50%,2.4,,,0,0,,,,,5,3.8,19,0,,HairTr00
496,Jesper Horsted,LVR,25,TE,15,0,4,3,19,6.3,0,0,9,0.2,1.3,75.00%,4.8,,,0,0,,,,,3,6.3,19,0,,HorsJe00
497,Trey Sermon,PHI,23,RB,2,0,,,,,0,0,,,,,,2,19,0,2,14,9.5,9.5,1,2,9.5,19,0,,SermTr00
498,Michael Burton,KAN,30,FB,17,0,3,2,11,5.5,0,0,9,0.1,0.6,66.70%,3.7,5,7,0,2,6,1.4,0.4,0.3,7,2.6,18,0,,BurtMi00
499,Keith Kirkwood,NOR,28,WR,5,1,4,2,18,9,0,1,14,0.4,3.6,50.00%,4.5,,,0,0,,,,,2,9,18,0,,KirkKe00
500,Adam Prentice,NOR,25,FB,11,2,3,3,9,3,0,1,4,0.3,0.8,100.00%,3,4,9,0,3,3,2.3,0.8,0.4,7,2.6,18,0,1,PrenAd00
501,Maxx Williams,ARI,28,TE,11,1,3,3,18,6,0,0,7,0.3,1.6,100.00%,6,,,0,0,,,,,3,6,18,0,,WillMa04
502,Braylon Sanders,MIA,23,WR,3,0,3,2,17,8.5,0,0,13,0.7,5.7,66.70%,5.7,,,0,0,,,,,2,8.5,17,0,1,SandBr00
503,Stone Smartt,LAC,24,TE,7,1,5,4,17,4.3,0,1,8,0.6,2.4,80.00%,3.4,,,0,0,,,,,4,4.3,17,0,,SmarSt00
504,J.J. Taylor,NWE,24,RB,1,0,1,1,8,8,0,0,8,1,8,100.00%,8,10,9,0,0,5,0.9,9,10,11,1.5,17,0,,TaylJJ01
505,Juwann Winfree,GNB,26,WR,3,0,4,1,17,17,0,1,17,0.3,5.7,25.00%,4.3,,,0,0,,,,,1,17,17,0,,WinfJu00
506,Zander Horvath,LAC,24,FB,15,2,8,5,8,1.6,2,2,5,0.3,0.5,62.50%,1,4,8,0,2,3,2,0.5,0.3,9,1.8,16,2,,HorvZa00
507,Dennis Houston,DAL,23,WR,2,0,6,2,16,8,0,0,11,1,8,33.30%,2.7,,,0,0,,,,,2,8,16,0,,HousDe01
508,Jameis Winston,NOR,28,QB,3,3,,,,,0,0,,,,,,5,16,0,0,6,3.2,5.3,1.7,5,3.2,16,0,3,WinsJa00
509,Quintez Cephus,DET,24,WR,4,1,3,2,15,7.5,0,1,9,0.5,3.8,66.70%,5,,,0,0,,,,,2,7.5,15,0,,CephQu00
510,Frank Darby,ATL,25,WR,5,0,1,1,15,15,0,1,15,0.2,3,100.00%,15,,,0,0,,,,,1,15,15,0,,DarbFr00
