Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
105,Samaje Perine,CIN,27,RB,16,2,51,38,287,7.6,4,11,32,2.4,17.9,74.50%,5.6,95,394,2,19,29,4.1,24.6,5.9,133,5.1,681,6,,PeriSa00
106,Kareem Hunt,CLE,27,RB,17,0,44,35,210,6,1,11,24,2.1,12.4,79.50%,4.8,123,468,3,30,24,3.8,27.5,7.2,158,4.3,678,4,1,HuntKa00
107,K.J. Osborn,MIN,25,WR,17,9,90,60,650,10.8,5,32,66,3.5,38.2,66.70%,7.2,3,6,0,2,5,2,0.4,0.2,63,10.4,656,5,1,OsboKJ00
108,Taysom Hill,NOR,32,TE,16,8,13,9,77,8.6,2,5,30,0.6,4.8,69.20%,5.9,96,575,7,34,60,6,35.9,6,105,6.2,652,9,2,HillTa00
109,Kalif Raymond,DET,28,WR,17,7,64,47,616,13.1,0,24,56,2.8,36.2,73.40%,9.6,7,36,0,4,12,5.1,2.1,0.4,54,12.1,652,0,3,RaymKa00
110,Chuba Hubbard,CAR,23,RB,15,2,17,14,171,12.2,0,5,45,0.9,11.4,82.40%,10.1,95,466,2,23,35,4.9,31.1,6.3,109,5.8,637,2,2,HubbCh01
111,Tyler Higbee,LAR,29,TE,17,17,108,72,620,8.6,3,32,26,4.2,36.5,66.70%,5.7,,,0,0,,,,,72,8.6,620,3,,HigbTy00
112,David Njoku,CLE,26,TE,14,14,80,58,628,10.8,4,36,38,4.1,44.9,72.50%,7.9,2,-8,0,0,-2,-4,-0.6,0.1,60,10.3,620,4,1,NjokDa00
113,Alec Pierce,IND,22,WR,16,12,78,41,593,14.5,2,28,47,2.6,37.1,52.60%,7.6,,,0,0,,,,,41,14.5,593,2,1,PierAl00
114,Jaylen Warren,PIT,24,RB,16,0,33,28,214,7.6,0,14,26,1.8,13.4,84.80%,6.5,77,379,1,20,31,4.9,23.7,4.8,105,5.6,593,1,1,WarrJa01
